name,ring,quadrant,isNew,description
Cosmos,Assess,Platforms,TRUE,"<p>The performance of blockchain technology has been greatly improved since we <a href=""/radar/techniques/blockchain-beyond-bitcoin"">initially assessed</a> this area in the Radar. However, there's still no single blockchain that could achieve ""internet-level"" throughput. As various blockchain platforms develop, we're seeing new data and value silos. That's why cross-chain tech has always been a key topic in the blockchain community: the future of blockchain may be a network of independent parallel blockchains. This is also the vision of <strong><a href=""https://cosmos.network/"">Cosmos</a></strong>. Cosmos releases <a href=""/radar/platforms/tendermint"">Tendermint</a> and CosmosSDK to let developers customize independent blockchains. These parallel blockchains could exchange value through the Inter-Blockchain Communication (IBC) protocol and Peg-Zones. Our teams have had great experiences with CosmosSDK, and the IBC protocol is maturing. This architecture could solve blockchain interoperability and scalability issues.</p>"
Visual regression testing tools,Trial,Tools,FALSE,"<p>Since we first mentioned <strong>visual regression testing tools</strong> in 2014, the use of the technique has spread and the tools landscape has evolved. <a href=""/radar/tools/backstopjs"">BackstopJS</a> remains an excellent choice with new features being added regularly, including support for running inside Docker containers. <a href=""/radar/tools/loki"">Loki</a> was featured in our previous Radar. <a href=""https://applitools.com/"">Applitools</a>, <a href=""https://crossbrowsertesting.com/"">CrossBrowserTesting</a> and <a href=""https://percy.io/"">Percy</a> are SaaS solutions. Another notable mention is <a href=""https://github.com/rsmbl"">Resemble.js</a>, an image diffing library. Although most teams use it indirectly as part of BackstopJS, some of our teams have been using it to analyze and compare images of web pages directly. In general, our experience shows that visual regression tools are less useful in the early stages when the interface goes through significant changes, but they certainly prove their worth as the product matures and the interface stabilizes.</p>"
Visual Studio Live Share,Trial,Tools,FALSE,"<p><strong><a href=""https://marketplace.visualstudio.com/items?itemName=MS-vsliveshare.vsliveshare-pack"">Visual Studio Live Share</a></strong> is a suite of extensions for <a href=""/radar/tools/visual-studio-code"">Visual Studio Code</a> and Visual Studio. At a time when teams are searching for good remote collaboration options, we want to call attention to the excellent tooling here. Live Share provides a good, low-latency remote-pairing experience, and requires significantly less bandwidth than the brute-force approach of sharing your entire desktop. Importantly, developers can work with their preferred configuration, extensions and key mappings during a pairing session. In addition to real-time collaboration for editing and debugging code, Live Share allows voice calls and sharing terminals and servers.</p>"
Asp .Net Core,Adopt,Platforms,FALSE,"<p>We previously had <strong>.NET Core</strong> in Adopt, indicating that it had become our default for .NET projects. But we felt it's worth again calling attention to .NET Core. With the release of .NET Core 3.<em>x</em> last year, the bulk of the features from .NET Framework have now been ported into .NET Core. With the announcement that <a href=""https://devblogs.microsoft.com/dotnet/introducing-net-5"">.NET Framework is on its last release</a>, Microsoft have reinforced the view that <a href=""https://devblogs.microsoft.com/dotnet/net-core-is-the-future-of-net/"">.NET Core is the future of .NET</a>. Microsoft has done a lot of work to make .NET Core <a href=""https://devblogs.microsoft.com/dotnet/using-net-and-docker-together-dockercon-2019-update/"">container friendly</a>. Most of our .NET Core–based projects target Linux and are often deployed as containers. The upcoming <a href=""https://devblogs.microsoft.com/dotnet/introducing-net-5/"">.NET 5</a> release looks promising, and we're looking forward to it.</p>"
Chef,Legacy,Platforms,FALSE,<p>Used to deploy Landscape client and other Legacy components into our CI/CD environments. We are slowly disconnecting from this.</p>
Docker,Assess,Platforms,TRUE,"<p>Container technology that utilizes an ultra-slim windows server or Linux image that is simple to build and deploy with, and can form part of a Kubernetes or Fabric cluster. Currently used for our deployment agents. This may start to become more widely adpoted as we find further uses for it.</p>"
Azure Event Grid,Adopt,Platforms,TRUE,<p></p>
Azure DevOps,Assess,Intrastructure,TRUE,<p></p>
ElasticSearch,Assess,Platforms,TRUE,"<p>An indexing platform for cross-domain, full-text fuzzy search capability.</p>"
Azure Cognitive Search,Assess,Platforms,TRUE,<p>An easy-to-consume indexing platform for full-text fuzzy search capability.</p>
Git Repository,Adopt,Source Control,TRUE,"<p>The source control system of choice, based on local a local repository principle to allow developers easier control of source. This allows us to remove trunk 'locking' impediments and also represents a 1:1 map with the files system, reducing complexity around modification of the solution structure. Already used for Release Hub artefacts.</p>"
TFS Repository,Maintain,Source Control,FALSE,<p>Maintained while we move towards Git</p>
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
